Contact Id,Email Id,Phone Number,First Name,Last Name,Address,Registration Date,IEEE Position,Field,Department
1,Michael.Hardy@testDomain.com,1360593833,Michael,Hardy,550 Freeman Well,2013-02-24,Null,23,Null
2,Terry.Rice@testDomain.com,1783075226,Terry,Rice,00609 Martin Prairie Apt. 394,2014-06-10,Null,31,Null
3,Jamie.Fisher@testDomain.com,4225622542,Jamie,Fisher,92831 Amy Causeway,2016-11-28,Null,24,Null
4,Lori.Calderon@testDomain.com,5884792780,Lori,Calderon,7618 Jenkins Skyway,2020-03-28,Null,28,Null
5,Michael.Clarke@testDomain.com,2467097495,Michael,Clarke,79953 Torres Estate Apt. 043,2020-05-11,Null,31,Null
6,Gina.Parks@testDomain.com,7309809444,Gina,Parks,5624 Bell Fields,2016-09-22,Null,27,Null
7,Kathryn.Silva@testDomain.com,4562448332,Kathryn,Silva,08793 Mackenzie Divide,2015-07-23,Null,28,Null
8,Natasha.Caldwell@testDomain.com,8259029106,Natasha,Caldwell,207 Kathleen Point,2015-10-15,Null,31,Null
9,Nicholas.Mejia@testDomain.com,6043668780,Nicholas,Mejia,234 Gregory Shoals Apt. 254,2013-05-28,Null,30,Null
10,Michelle.Clark@testDomain.com,2761644446,Michelle,Clark,27758 Melissa Locks Apt. 210,2018-11-23,Null,33,25
11,Brandi.Vincent@testDomain.com,6970156306,Brandi,Vincent,2879 Beasley Key,2018-09-17,Null,30,Null
12,Jason.Moore@testDomain.com,6523022498,Jason,Moore,001 Danielle Corners,2011-11-18,Null,34,Null
13,Jeffery.Anderson@testDomain.com,1740205295,Jeffery,Anderson,5563 Michael Garden,2017-05-11,Null,31,Null
14,Mariah.Dixon@testDomain.com,8403961791,Mariah,Dixon,31247 Deleon Turnpike Suite 226,2017-10-28,Null,26,Null
15,Philip.Thompson@testDomain.com,9792961352,Philip,Thompson,39487 Madison Alley Apt. 711,2015-02-01,Null,31,Null
16,Rhonda.Cochran@testDomain.com,5939056858,Rhonda,Cochran,35405 Smith Forge,2017-10-11,Null,29,Null
17,Catherine.Sanchez@testDomain.com,8582465610,Catherine,Sanchez,774 Barbara Villages Suite 339,2013-06-23,Null,23,Null
18,Tiffany.Osborne@testDomain.com,9183683195,Tiffany,Osborne,9190 Richards Gardens Apt. 409,2012-04-20,Null,31,Null
19,Jeremy.Davis@testDomain.com,7921211767,Jeremy,Davis,69988 Fernandez Mills Suite 714,2012-02-11,Null,23,Null
20,Ann.Reese@testDomain.com,1009461302,Ann,Reese,64263 Scott Ranch,2020-10-11,SSR,30,23
21,Sandra.Boone@testDomain.com,4241668649,Sandra,Boone,473 Wong Lakes,2020-03-30,Null,34,Null
22,Jerry.Travis@testDomain.com,4593723337,Jerry,Travis,367 Sanchez Place Suite 033,2012-01-23,Null,23,Null
23,Brianna.Moore@testDomain.com,8416826159,Brianna,Moore,08400 Shaw Cliff,2014-08-26,Null,33,Null
24,Leonard.Villa@testDomain.com,4894388642,Leonard,Villa,97084 Andrew Crescent Suite 841,2014-12-31,Null,33,Null
25,Andrea.Henderson@testDomain.com,3554813011,Andrea,Henderson,7257 Luis View Apt. 712,2018-11-12,Null,24,Null
26,Kristen.Anderson@testDomain.com,2434044666,Kristen,Anderson,668 King Key,2015-03-19,Null,25,Null
27,Rachel.Rodgers@testDomain.com,1496127159,Rachel,Rodgers,008 Jennifer Passage,2016-01-23,Null,28,Null
28,Raymond.King@testDomain.com,2225956367,Raymond,King,5982 Daniel Plains,2017-03-01,Null,33,Null
29,Joshua.Nichols@testDomain.com,9384359015,Joshua,Nichols,5454 Baldwin Light,2015-12-09,Null,25,Null
30,Mark.Wagner@testDomain.com,2893855489,Mark,Wagner,36970 Vanessa Parks Suite 296,2014-11-25,Null,28,23
