Member Id,First Name,Last Name,Email Id,Phone Number,IEEE Number,Status,Training Date,Generation,Registration Date,Deletion Date,Department,UniGrade,RegYearUni
1,Cheryl,Glover,Cheryl.Glover@testDomain.com,9057466344,96196146,0,Null,Null,2017-02-25,Null,25,Undergraduate,2014-08-31
2,Amber,Ferguson,Amber.Ferguson@testDomain.com,2108294637,96196147,0,2018-09-07,G,2017-11-26,Null,23,Postraduate,2017-09-23
3,Brian,White,Brian.White@testDomain.com,7696834456,96196148,1,Null,Null,2011-09-12,Null,24,Undergraduate,2011-08-27
4,Dana,Thompson,Dana.Thompson@testDomain.com,8689936041,Null,0,2019-09-07,C,2018-08-26,Null,21,Undergraduate,2014-04-13
5,Amy,Bryant,Amy.Bryant@testDomain.com,9051661795,96196150,0,Null,Null,2012-04-27,Null,20,Undergraduate,2011-06-21
6,Cynthia,Nichols,Cynthia.Nichols@testDomain.com,1392389408,96196151,1,2019-03-23,D,2016-10-31,Null,21,Postraduate,2016-03-10
7,Crystal,Little,Crystal.Little@testDomain.com,7007014272,96196152,0,Null,Null,2016-02-12,Null,19,Undergraduate,2012-03-17
8,Natasha,Gallagher,Natasha.Gallagher@testDomain.com,9804855764,Null,0,2016-10-22,D,2013-12-26,Null,27,Undergraduate,2012-02-20
9,Thomas,Roberts,Thomas.Roberts@testDomain.com,1856763846,96196154,1,Null,Null,2012-01-08,Null,21,Undergraduate,2011-09-26
10,Peter,Chavez,Peter.Chavez@testDomain.com,2531378359,96196155,0,2020-10-06,F,2017-05-05,2018-07-11,22,Undergraduate,2013-08-14
11,Mr.,Randy,Mr..Randy@testDomain.com,3586420582,96196156,0,Null,Null,2018-05-05,Null,23,Undergraduate,2011-01-08
12,Patrick,Patterson,Patrick.Patterson@testDomain.com,7104189710,Null,1,2018-11-05,B,2015-01-09,Null,25,Undergraduate,2013-06-13
13,Tony,Mayo,Tony.Mayo@testDomain.com,1953150826,96196158,0,Null,Null,2017-05-06,Null,26,Undergraduate,2011-12-16
