Participant Email,Event Title,Event Date
Justin.Perry@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Ann.Singh@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Ann.Singh@testDomain.com,Intro to BME,2021-02-16 12:00:00
Janet.Cardenas@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Janet.Cardenas@testDomain.com,Electric Motors,2021-04-27 12:00:00
Janet.Cardenas@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Michael.Martinez@testDomain.com,Electric Motors,2021-04-27 12:00:00
Michael.Martinez@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Michael.Martinez@testDomain.com,Intro to BME,2021-02-16 12:00:00
Victoria.Nelson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Victoria.Nelson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Victoria.Nelson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Mr..Michael@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Mr..Michael@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Randy.Wilson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Randy.Wilson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Randy.Wilson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Barry.Sullivan@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Barry.Sullivan@testDomain.com,Intro to BME,2021-02-16 12:00:00
Jason.Campbell@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Jason.Campbell@testDomain.com,Electric Motors,2021-04-27 12:00:00
Jason.Campbell@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jason.Campbell@testDomain.com,Intro to BME,2021-02-16 12:00:00
Karen.Malone@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Karen.Malone@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Karen.Malone@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jennifer.Neal@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Jennifer.Neal@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Jennifer.Neal@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jennifer.Neal@testDomain.com,Intro to BME,2021-02-16 12:00:00
Teresa.Holmes@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Teresa.Holmes@testDomain.com,Intro to BME,2021-02-16 12:00:00
Carlos.Marquez@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Carlos.Marquez@testDomain.com,Electric Motors,2021-04-27 12:00:00
Carlos.Marquez@testDomain.com,Intro to BME,2021-02-16 12:00:00
Richard.Brown@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Richard.Brown@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Richard.Brown@testDomain.com,Electric Motors,2021-04-27 12:00:00
Richard.Brown@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Deborah.Boyle@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Deborah.Boyle@testDomain.com,Electric Motors,2021-04-27 12:00:00
Michael.Parker@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Michael.Parker@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Michael.Parker@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Michael.Parker@testDomain.com,Intro to BME,2021-02-16 12:00:00
Andrea.Mahoney@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Daniel.Faulkner@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Daniel.Faulkner@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Daniel.Faulkner@testDomain.com,Intro to BME,2021-02-16 12:00:00
Alice.Green@testDomain.com,Electric Motors,2021-04-27 12:00:00
Daniel.Davis@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Daniel.Davis@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Daniel.Davis@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Daniel.Davis@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kara.Wright@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Kara.Wright@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Kara.Wright@testDomain.com,Electric Motors,2021-04-27 12:00:00
John.Jones@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Deborah.Hansen@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Deborah.Hansen@testDomain.com,Electric Motors,2021-04-27 12:00:00
Deborah.Hansen@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jane.Foster@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Michael.Gordon@testDomain.com,Electric Motors,2021-04-27 12:00:00
Michael.Gordon@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Michael.Gordon@testDomain.com,Intro to BME,2021-02-16 12:00:00
Jason.Johnson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Jason.Johnson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Matthew.Torres@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Matthew.Torres@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Wendy.Smith@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Wendy.Smith@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Wendy.Smith@testDomain.com,Intro to BME,2021-02-16 12:00:00
Allison.Brown@testDomain.com,Electric Motors,2021-04-27 12:00:00
Lindsay.Ferguson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Lindsay.Ferguson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Lindsay.Ferguson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Marcus.Frazier@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Marcus.Frazier@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Stephanie.Vasquez@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
